"play","value"
"Nélson Semedo","€12.00m"
"Ki-Jana Hoever","€4.50m"
"Matt Doherty","€3.00m"
"Mario Lemina","€10.00m"
"Boubacar Traoré","€6.00m"
"Joe Hodge","€1.50m"
"João Gomes","€35.00m"
"Jean-Ricner Bellegarde","€15.00m"
"Luke Cundle","€5.00m"
"Chem Campbell","€900k"
"Noha Lemina","€500k"
"Pedro Neto","€55.00m"
"Pablo Sarabia","€10.00m"
"Matheus Cunha","€45.00m"
"Hee-chan Hwang","€25.00m"
"Nathan Fraser","€1.00m"
"Leon Chiwome","€1.00m"
"Jordan Pickford","€22.00m"
"João Virgínia","€800k"
"Andy Lonergan","€100k"
"Jarrad Branthwaite","€42.00m"
"James Tarkowski","€13.00m"
"Ben Godfrey","€10.00m"
"Michael Keane","€6.00m"
"Mason Holgate","€5.00m"
"Vitaliy Mykolenko","€28.00m"
"Ashley Young","€500k"
"Nathan Patterson","€15.00m"
"Séamus Coleman","€500k"
"Amadou Onana","€50.00m"
"James Garner","€22.00m"
"Abdoulaye Doucouré","€10.00m"
"André Gomes","€10.00m"
"Idrissa Gueye","€3.00m"
"Dele Alli","€5.00m"
"Dwight McNeil","€22.00m"
"Arnaut Danjuma","€13.00m"
"Lewis Dobbin","€2.50m"
"Dominic Calvert-Lewin","€22.00m"
"Beto","€20.00m"
"Chermiti","€9.00m"
"Bernd Leno","€13.00m"
"Marek Rodak","€3.00m"
"Steven Benda","€1.00m"
"Tosin Adarabioyo","€20.00m"
"Issa Diop","€20.00m"
"Calvin Bassey","€16.00m"
"Tim Ream","€800k"
"Antonee Robinson","€25.00m"
"Fodé Ballo-Touré","€3.00m"
"Timothy Castagne","€17.00m"
"Kenny Tete","€15.00m"
"João Palhinha","€55.00m"
"Harrison Reed","€15.00m"
"Saša Lukić","€10.00m"
"Tom Cairney","€2.00m"
"Alex Iwobi","€25.00m"
"Andreas Pereira","€20.00m"
"Luke Harris","€1.00m"
"Willian","€3.00m"
"Harry Wilson","€17.00m"
"Adama Traoré","€9.00m"
"Bobby De Cordova-Reid","€5.00m"
"Rodrigo Muniz","€20.00m"
"Raúl Jiménez","€5.00m"
"Jay Stansfield","€3.50m"
"James Trafford","€18.00m"
"Arijanet Muric","€7.00m"
"Lawrence Vigouroux","€300k"
"Jordan Beyer","€13.00m"
"Ameen Al-Dakhil","€12.00m"
"Dara O'Shea","€7.00m"
"Hjalmar Ekdal","€7.00m"
"Maxime Estève","€7.00m"
"Hannes Delcroix","€4.00m"
"Luke McNally","€3.80m"
"Charlie Taylor","€3.00m"
"Lorenz Assignon","€10.00m"
"Connor Roberts","€7.00m"
"Vitinho","€5.00m"
"Sander Berge","€20.00m"
"Han-Noah Massengo","€4.00m"
"Jack Cork","€800k"
"Josh Brownhill","€15.00m"
"Josh Cullen","€10.00m"
"Aaron Ramsey","€15.00m"
"Scott Twine","€3.00m"
"Mike Trésor","€12.00m"
"Wilson Odobert","€10.00m"
"Anass Zaroury","€9.00m"
"Jacob Bruun Larsen","€8.00m"
"Luca Koleosho","€7.00m"
"Dara Costelloe","€325k"
"Benson Manuel","€5.00m"
"Nathan Redmond","€5.00m"
"Jóhann Berg Gudmundsson","€1.00m"
"Lyle Foster","€13.00m"
"Zeki Amdouni","€12.00m"
"Michael Obafemi","€2.20m"
"Jay Rodríguez","€1.00m"
"Ivo Grbic","€3.50m"
"Wes Foderingham","€900k"
"Adam Davies","€500k"
"Jordan Amissah","€250k"
"Anel Ahmedhodzic","€18.00m"
"Auston Trusty","€7.00m"
"John Egan","€4.00m"
"Jack Robinson","€1.00m"
"Chris Basham","€300k"
"Yasser Larouci","€3.00m"
"Max Lowe","€2.50m"
"Rhys Norrington-Davies","€2.50m"
"Jayden Bogle","€3.80m"
"George Baldock","€2.50m"
"Femi Seriki","€300k"
"Vini Souza","€12.00m"
"Gustavo Hamer","€15.00m"
"Tom Davies","€5.00m"
"Anis Slimane","€2.50m"
"Andre Brooks","€2.50m"
"Oliver Norwood","€1.00m"
"Ben Osborn","€1.00m"
"Oliver Arblaster","€450k"
"Ben Brereton Díaz","€8.00m"
"Cameron Archer","€13.00m"
"Oli McBurnie","€4.50m"
"Rhian Brewster","€3.00m"
"William Osula","€3.00m"
"Daniel Jebbison","€1.00m"
"Thomas Kaminski","€3.00m"
"Tim Krul","€500k"
"Jack Walton","€400k"
"James Shea","€200k"
"Teden Mengi","€12.00m"
"Tom Holmes","€3.50m"
"Gabriel Osho","€3.00m"
"Mads Andersen","€3.00m"
"Tom Lockyer","€2.50m"
"Reece Burke","€1.80m"
"Ryan Giles","€4.50m"
"Amari'i Bell","€2.50m"
"Dan Potts","€900k"
"Daiki Hashioka","€2.00m"
"Marvelous Nakamba","€5.00m"
"Pelly Ruddock Mpanzu","€1.50m"
"Ross Barkley","€8.00m"
"Allan Campbell","€2.00m"
"Jordan Clark","€1.00m"
"Luke Berry","€400k"
"Louie Watson","€250k"
"Elliot Thorpe","€200k"
"Alfie Doughty","€10.00m"
"Fred Onyedinma","€500k"
"Dion Pereira","€175k"
"Chiedozie Ogbene","€8.00m"
"Tahith Chong","€6.00m"
"Andros Townsend","€1.80m"
"John McAtee","€300k"
"Carlton Morris","€13.00m"
"Elijah Adebayo","€12.00m"
"Jacob Brown","€4.00m"
"Cauley Woodrow","€1.00m"
"Joe Taylor","€350k"
"Admiral Muskwe","€275k"
"Thibaut Courtois","€28.00m"
"Andriy Lunin","€25.00m"
"Kepa Arrizabalaga","€12.00m"
"Éder Militão","€60.00m"
"Antonio Rüdiger","€25.00m"
"David Alaba","€20.00m"
"Nacho Fernández","€3.00m"
"Ferland Mendy","€22.00m"
"Fran García","€15.00m"
"Daniel Carvajal","€12.00m"
"Lucas Vázquez","€4.00m"
"Aurélien Tchouaméni","€100.00m"
"Federico Valverde","€120.00m"
"Eduardo Camavinga","€100.00m"
"Toni Kroos","€10.00m"
"Luka Modric","€6.00m"
"Dani Ceballos","€6.00m"
"Jude Bellingham","€180.00m"
"Brahim Díaz","€40.00m"
"Arda Güler","€30.00m"
"Nico Paz","€10.00m"
"Vinicius Junior","€180.00m"
"Rodrygo","€110.00m"
"Joselu","€5.00m"
"Marc-André ter Stegen","€28.00m"
"Iñaki Peña","€8.00m"
"Ander Astralaga","€500k"
"Ronald Araujo","€70.00m"
"Jules Koundé","€45.00m"
"Andreas Christensen","€40.00m"
"Pau Cubarsí","€30.00m"
"Iñigo Martínez","€5.00m"
"Alejandro Balde","€40.00m"
"Marcos Alonso","€2.00m"
"João Cancelo","€25.00m"
"Héctor Fort","€7.50m"
"Oriol Romeu","€2.00m"
"Gavi","€90.00m"
"Pedri","€80.00m"
"Frenkie de Jong","€70.00m"
"Fermín López","€30.00m"
"İlkay Gündoğan","€15.00m"
"Sergi Roberto","€2.50m"
"Ferran Torres","€30.00m"
"Lamine Yamal","€90.00m"
"Raphinha","€50.00m"
"João Félix","€30.00m"
"Vitor Roque","€30.00m"
"Robert Lewandowski","€15.00m"
"Marc Guiu","€7.50m"
"Álex Remiro","€25.00m"
"Unai Marrero","€300k"
"Robin Le Normand","€40.00m"
"Igor Zubeldia","€22.00m"
"Jon Pacheco","€15.00m"
"Aritz Elustondo","€5.00m"
"Kieran Tierney","€12.00m"
"Aihen Muñoz","€8.00m"
"Javi Galán","€7.00m"
"Hamari Traoré","€6.00m"
"Álvaro Odriozola","€2.50m"
"Jon Aramburu","€2.00m"
"Martín Zubimendi","€50.00m"
"Urko González de Zarate","€1.20m"
"Mikel Merino","€50.00m"
"Beñat Turrientes","€20.00m"
"Jon Ander Olasagasti","€1.20m"
"Brais Méndez","€40.00m"
"Arsen Zakharyan","€18.00m"
"Jon Magunazelaia","€1.00m"
"Ander Barrenetxea","€20.00m"
"Martín Merquelanz","€600k"
"Takefusa Kubo","€50.00m"
"Mikel Oyarzabal","€45.00m"
"Sheraldo Becker","€10.00m"
"Umar Sadiq","€10.00m"
"André Silva","€6.00m"
"Carlos Fernández","€1.50m"
"Jan Oblak","€28.00m"
"Horațiu Moldovan","€2.50m"
"Mario Hermoso","€25.00m"
"José María Giménez","€22.00m"
"Axel Witsel","€3.50m"
"Stefan Savic","€2.50m"
"Gabriel Paulista","€2.00m"
"Reinildo Mandava","€9.00m"
"Nahuel Molina","€28.00m"
"César Azpilicueta","€2.00m"
"Rodrigo de Paul","€30.00m"
"Marcos Llorente","€30.00m"
"Arthur Vermeeren","€25.00m"
"Pablo Barrios","€25.00m"
"Koke","€12.00m"
"Saúl Ñíguez","€7.50m"
"Thomas Lemar","€10.00m"
"Samuel Lino","€30.00m"
"Rodrigo Riquelme","€25.00m"
"Marcos Paulo","€2.00m"
"Vitolo","€100k"
"Ángel Correa","€18.00m"
"Antoine Griezmann","€25.00m"
"Álvaro Morata","€16.00m"
"Memphis Depay","€10.00m"
"Unai Simón","€30.00m"
"Julen Agirrezabala","€5.00m"
"Dani Vivian","€25.00m"
"Aitor Paredes","€22.00m"
"Yeray Álvarez","€8.00m"
"Yuri Berchiche","€1.80m"
"Imanol García de Albéniz","€1.20m"
"Iñigo Lekue","€3.00m"
"Óscar de Marcos","€1.50m"
"Mikel Vesga","€4.00m"
"Beñat Prados","€15.00m"
"Iñigo Ruiz de Galarreta","€5.00m"
"Ander Herrera","€2.00m"
"Dani García","€1.80m"
"Mikel Jauregizar","€800k"
"Oihan Sancet","€35.00m"
"Unai Gómez","€6.00m"
"Iker Muniain","€5.00m"
"Nico Williams","€60.00m"
"Álex Berenguer","€12.00m"
"Iñaki Williams","€25.00m"
"Adu Ares","€2.00m"
"Gorka Guruzeta","€18.00m"
"Asier Villalibre","€2.50m"
"Raúl García","€1.50m"
"Paulo Gazzaniga","€4.00m"
"Toni Fuidias","€300k"
"Juan Carlos","€200k"
"Eric García","€20.00m"
"Daley Blind","€3.00m"
"David López","€2.50m"
"Juanpe","€1.00m"
"Miguel Gutiérrez","€25.00m"
"Yan Couto","€25.00m"
"Arnau Martínez","€10.00m"
"Aleix García","€25.00m"
"Yangel Herrera","€25.00m"
"Pablo Torre","€3.00m"
"Jhon Solís","€3.00m"
"Iván Martín","€15.00m"
"Borja García","€800k"
"Sávio","€50.00m"
"Toni Villa","€1.50m"
"Viktor Tsygankov","€30.00m"
"Portu","€3.50m"
"Valery Fernández","€2.50m"
"Artem Dovbyk","€35.00m"
"Cristhian Stuani","€1.80m"
"Giorgi Mamardashvili","€35.00m"
"Jaume Doménech","€800k"
"Cristian Rivero","€200k"
"Cristhian Mosquera","€30.00m"
"Yarek Gasiorowski","€15.00m"
"Cenk Özkacar","€4.00m"
"Mouctar Diakhaby","€2.00m"
"José Gayà","€25.00m"
"Jesús Vázquez","€3.00m"
"Thierry Correia","€6.00m"
"Dimitri Foulquier","€2.50m"
"Pepelu","€22.00m"
"Hugo Guillamón","€8.00m"
"Javi Guerra","€20.00m"
"André Almeida","€15.00m"
"Selim Amallah","€1.50m"
"Pablo Gozálbez","€800k"
"Diego López","€14.00m"
"Fran Pérez","€8.00m"
"Peter Federico","€3.00m"
"Sergi Canós","€2.50m"
"Hugo González","€250k"
"Hugo Duro","€16.00m"
"Roman Yaremchuk","€3.50m"
"Alberto Marí","€1.50m"
"Filip Jørgensen","€20.00m"
"Pepe Reina","€600k"
"Yerson Mosquera","€6.00m"
"Jorge Cuenca","€6.00m"
"Eric Bailly","€3.00m"
"Aïssa Mandi","€1.80m"
"Raúl Albiol","€1.50m"
"Alfonso Pedraza","€5.00m"
"Alberto Moreno","€1.80m"
"Carlos Romero","€1.50m"
"Juan Foyth","€15.00m"
"Kiko Femenía","€1.40m"
"Ramón Terrats","€4.00m"
"Étienne Capoue","€1.50m"
"Francis Coquelin","€1.50m"
"Santi Comesaña","€6.00m"
"Dani Parejo","€2.50m"
"Manu Trigueros","€1.50m"
"Álex Baena","€40.00m"
"Denis Suárez","€1.50m"
"Gonçalo Guedes","€15.00m"
"Yéremy Pino","€30.00m"
"Ilias Akhomach","€15.00m"
"Bertrand Traoré","€9.00m"
"Alexander Sørloth","€25.00m"
"Gerard Moreno","€10.00m"
"José Luis Morales","€1.50m"
"Jorge Pascual","€1.00m"
"Ørjan Nyland","€1.40m"
"Marko Dmitrovic","€900k"
"Loïc Badé","€14.00m"
"Kike Salas","€10.00m"
"Marcão","€4.00m"
"Nemanja Gudelj","€3.50m"
"Tanguy Nianzou","€3.00m"
"Sergio Ramos","€2.50m"
"Adrià Pedrosa","€6.00m"
"Marcos Acuña","€4.00m"
"Juanlu Sánchez","€15.00m"
"Jesús Navas","€2.50m"
"Boubakary Soumaré","€14.00m"
"Lucien Agoumé","€6.00m"
"Djibril Sow","€9.00m"
"Óliver Torres","€6.00m"
"Joan Jordán","€3.50m"
"Manu Bueno","€300k"
"Hannibal","€9.00m"
"Lucas Ocampos","€9.00m"
"Dodi Lukébakio","€12.00m"
"Suso","€4.00m"
"Erik Lamela","€2.00m"
"Adnan Januzaj","€2.00m"
"Youssef En-Nesyri","€20.00m"
"Isaac Romero","€18.00m"
"Alejo Véliz","€9.00m"
"Rafa Mir","€2.50m"
"Mariano Díaz","€1.50m"
"Rui Silva","€8.00m"
"Claudio Bravo","€800k"
"Chadi Riad","€15.00m"
"Germán Pezzella","€3.00m"
"Marc Bartra","€1.00m"
"Sokratis Papastathopoulos","€700k"
"Juan Miranda","€9.00m"
"Abner","€7.00m"
"Héctor Bellerín","€4.00m"
"Youssouf Sabaly","€2.50m"
"Johnny Cardoso","€25.00m"
"Guido Rodríguez","€20.00m"
"Marc Roca","€9.00m"
"William Carvalho","€3.00m"
"Sergi Altimira","€2.50m"
"Pablo Fornals","€14.00m"
"Nabil Fekir","€10.00m"
"Isco","€8.00m"
"Rodri Sánchez","€3.00m"
"Assane Diao","€12.00m"
"Abde Ezzalzouli","€9.00m"
"Ayoze Pérez","€7.00m"
"Aitor Ruibal","€3.50m"
"Willian José","€5.00m"
"Chimy Ávila","€3.00m"
"Cédric Bakambu","€2.50m"
"Iván Villar","€1.20m"
"Vicente Guaita","€800k"
"Unai Núñez","€7.00m"
"Carl Starfelt","€6.00m"
"Joseph Aidoo","€4.00m"
"Carlos Domínguez","€3.00m"
"Manu Sánchez","€8.00m"
"Mihailo Ristic","€1.00m"
"Óscar Mingueza","€8.00m"
"Javier Manquillo","€1.80m"
"Kevin Vázquez","€800k"
"Renato Tapia","€5.00m"
"Jailson","€1.50m"
"Fran Beltrán","€6.00m"
"Luca de la Torre","€3.00m"
"Hugo Sotelo","€2.50m"
"Carlos Dotor","€2.00m"
"Damián Rodríguez","€250k"
"Williot Swedberg","€5.00m"
"Jonathan Bamba","€9.00m"
"Franco Cervi","€1.50m"
"Hugo Álvarez","€400k"
"Tadeo Allende","€4.00m"
"Carles Pérez","€2.50m"
"Miguel Rodríguez","€800k"
"Jørgen Strand Larsen","€25.00m"
"Anastasios Douvikas","€6.00m"
"Iago Aspas","€3.00m"
"Antonio Sivera","€6.00m"
"Jesús Owono","€1.00m"
"Abdel Abqar","€7.50m"
"Rafa Marín","€7.50m"
"Aleksandar Sedlar","€400k"
"Javi López","€7.50m"
"Rubén Duarte","€3.00m"
"Andoni Gorosabel","€5.00m"
"Nahuel Tenaglia","€2.00m"
"Antonio Blanco","€7.50m"
"Carlos Benavidez","€1.50m"
"Ander Guevara","€5.00m"
"Jon Guridi","€4.00m"
"Ianis Hagi","€2.00m"
"Luis Rioja","€4.00m"
"Abde Rebbach","€800k"
"Álex Sola","€4.00m"
"Carlos Vicente","€4.00m"
"Xeber Alkain","€1.50m"
"Samu Omorodion","€35.00m"
"Giuliano Simeone","€3.00m"
"Kike García","€1.00m"
"Joaquín Panichelli","€25k"
"Álvaro Valles","€12.00m"
"Aarón Escandell","€1.00m"
"Mika Mármol","€15.00m"
"Saúl Coco","€8.00m"
"Alex Suárez","€1.20m"
"Juanma Herzog","€1.00m"
"Eric Curbelo","€800k"
"Sergi Cardona","€6.00m"
"Daley Sinkgraven","€1.00m"
"Julián Araujo","€8.00m"
"Álvaro Lemos","€700k"
"Máximo Perrone","€9.00m"
"Nuke Mfulu","€700k"
"Enzo Loiodice","€4.00m"
"Javi Muñoz","€3.00m"
"José Campaña","€1.50m"
"Fabio González","€500k"
"Alberto Moleiro","€15.00m"
"Kirian Rodríguez","€12.00m"
"Pejiño","€1.20m"
"Benito Ramírez","€600k"
"Munir El Haddadi","€2.50m"
"Marvin Park","€2.00m"
"Sandro Ramírez","€1.50m"
"Sory Kaba","€1.50m"
"Marc Cardona","€1.40m"
"Cristian Herrera","€300k"
"David Soria","€5.00m"
"Daniel Fuzato","€900k"
"Gastón Álvarez","€15.00m"
"Omar Alderete","€5.00m"
"Djené","€2.50m"
"Domingos Duarte","€2.00m"
"Diego Rico","€1.50m"
"Fabrizio Angileri","€1.00m"
"Jordi Martín","€600k"
"José Ángel Carmona","€3.50m"
"Juan Iglesias","€2.50m"
"Nemanja Maksimovic","€6.00m"
"Mauro Arambarri","€5.00m"
"Luis Milla","€3.50m"
"Carles Aleñá","€3.00m"
"Ilaix Moriba","€3.00m"
"Yellu Santiago","€1.00m"
"Óscar Rodríguez","€2.50m"
"Mason Greenwood","€25.00m"
"Borja Mayoral","€15.00m"
"Juanmi Latasa","€2.80m"
"Jaime Mata","€900k"
"Sergio Herrera","€6.00m"
"Aitor Fernández","€1.80m"
"David García","€10.00m"
"Jorge Herrando","€6.00m"
"Alejandro Catena","€4.00m"
"Unai García","€1.20m"
"Juan Cruz","€2.20m"
"Johan Mojica","€2.20m"
"Jesús Areso","€7.50m"
"Rubén Peña","€2.20m"
"Iker Muñoz","€5.00m"
"Lucas Torró","€4.00m"
"Jon Moncayola","€7.00m"
"Pablo Ibáñez","€2.50m"
"Aimar Oroz","€15.00m"
"Moi Gómez","€3.50m"
"Rubén García","€2.50m"
"José Manuel Arnáiz","€2.00m"
"Kike Barja","€2.00m"
"Ante Budimir","€5.00m"
"Raúl García","€4.00m"
"Predrag Rajkovic","€10.00m"
"Dominik Greif","€2.50m"
"Iván Cuéllar","€100k"
"Martin Valjent","€6.00m"
"José Copete","€2.80m"
"Siebe Van der Heyden","€2.00m"
"Antonio Raíllo","€2.00m"
"Matija Nastasic","€1.50m"
"Toni Lato","€3.50m"
"Jaume Costa","€900k"
"Pablo Maffeo","€5.00m"
"Giovanni González","€3.00m"
"Nacho Vidal","€2.00m"
"Samú Costa","€10.00m"
"Omar Mascarell","€1.00m"
"Sergi Darder","€6.00m"
"Manu Morlanes","€2.50m"
"Antonio Sánchez","€2.50m"
"Dani Rodríguez","€1.00m"
"Nemanja Radonjic","€2.80m"
"Javi Llabrés","€700k"
"Vedat Muriqi","€12.00m"
"Cyle Larin","€4.00m"
"Abdón Prats","€1.80m"
"Luís Maximiano","€5.00m"
"Fernando Martínez","€700k"
"Diego Mariño","€300k"
"Edgar González","€3.00m"
"César Montes","€3.00m"
"Chumi","€2.00m"
"Aleksandar Radovanovic","€900k"
"Bruno Langa","€1.50m"
"Álex Centelles","€1.20m"
"Marc Pubill","€4.00m"
"Álex Pozo","€2.00m"
"Dion Lopy","€10.00m"
"Lucas Robertone","€7.00m"
"Iddrisu Baba","€2.20m"
"Gonzalo Melero","€1.80m"
"Marcos Peña","€1.00m"
"Sergio Arribas","€10.00m"
"Jonathan Viera","€1.00m"
"Largie Ramazani","€5.00m"
"Luka Romero","€5.00m"
"Adrián Embarba","€1.80m"
"Luis Suárez","€3.50m"
"Ibrahima Koné","€2.50m"
"Léo Baptistão","€1.50m"
"Choco Lozano","€1.20m"
"Marko Milovanovic","€900k"
"Augusto Batalla","€5.00m"
"Marc Martínez","€300k"
"Raúl Fernández","€200k"
"Bruno Méndez","€5.00m"
"Raúl Torrente","€3.00m"
"Kamil Piatkowski","€2.50m"
"Miguel Rubio","€1.50m"
"Ignasi Miquel","€1.20m"
"Jesús Vallejo","€1.00m"
"Faitout Maouassa","€4.00m"
"Carlos Neva","€2.50m"
"Ricard Sánchez","€2.50m"
"Víctor Díaz","€400k"
"Gerard Gumbau","€3.00m"
"Martin Hongla","€2.50m"
"Gonzalo Villar","€3.00m"
"Sergio Ruiz","€2.00m"
"Óscar Melendo","€2.00m"
"Myrto Uzuni","€8.00m"
"Kamil Jóźwiak","€2.00m"
"Facundo Pellistri","€8.00m"
"Antonio Puertas","€2.00m"
"Theo Corbeanu","€1.50m"
"José Callejón","€800k"
"Lucas Boyé","€7.00m"
"Matías Arezo","€7.00m"
"Stole Dimitrievski","€4.00m"
"Dani Cárdenas","€1.80m"
"Florian Lejeune","€3.00m"
"Abdul Mumin","€2.50m"
"Aridane Hernández","€800k"
"Martín Pascual","€300k"
"Alfonso Espino","€2.40m"
"Pep Chavarría","€2.00m"
"Iván Balliu","€2.00m"
"Andrei Rațiu","€1.40m"
"Miguel Crespo","€4.00m"
"Óscar Valentín","€4.00m"
"Kike Pérez","€3.00m"
"Unai López","€3.00m"
"Pathé Ciss","€2.50m"
"Randy Nteka","€1.50m"
"José Pozo","€1.00m"
"Óscar Trejo","€1.00m"
"Álvaro García","€3.00m"
"Bebé","€600k"
"Isi Palazón","€8.00m"
"Jorge de Frutos","€4.00m"
"Sergio Camello","€3.00m"
"Raúl de Tomás","€2.00m"
"Radamel Falcao","€800k"
"Conan Ledesma","€5.00m"
"David Gil","€700k"
"Fali","€2.00m"
"Víctor Chust","€2.00m"
"Aiham Ousou","€1.80m"
"Jorge Meré","€1.00m"
"Luis Hernández","€500k"
"Momo Mbaye","€400k"
"Javi Hernández","€2.50m"
"Lucas Pires","€2.00m"
"Iza Carcelén","€1.50m"
"Joseba Zaldua","€900k"
"Diadié Samassékou","€2.00m"
"José Mari","€200k"
"Rominigue Kouamé","€2.00m"
"Rubén Alcaraz","€1.50m"
"Gonzalo Escalante","€1.50m"
"Fede San Emeterio","€1.50m"
"Robert Navarro","€6.00m"
"Álex Fernández","€1.50m"
"Juanmi","€6.00m"
"Darwin Machís","€2.00m"
"Brian Ocampo","€900k"
"Iván Alejo","€1.50m"
"Chris Ramos","€4.00m"
"Maxi Gómez","€2.00m"
"Rubén Sobrino","€1.40m"
"Roger Martí","€1.20m"
"Sergi Guardiola","€800k"
